time,node_index,position,domain,classical_displacement,vqls_displacement,classical_velocity,vqls_velocity
0.0,0,0.0,MD,0.01,0.01,0.0,0.0
0.0,1,1.0,MD,0.003535533905932738,0.003535533905932738,0.0,0.0
0.0,2,2.0,MD,0.0,0.0,0.0,0.0
0.0,3,3.0,MD,0.0,0.0,0.0,0.0
0.0,4,4.0,MD,0.0,0.0,0.0,0.0
0.0,5,5.0,FE,0.0,0.0,0.0,0.0
0.0,6,10.0,FE,0.0,0.0,0.0,0.0
0.0,7,15.0,FE,0.0,0.0,0.0,0.0
2.5,0,0.0,MD,0.00023753141496421387,0.00023589286489859407,-0.0024539584589074598,-0.002460903876035232
2.5,1,1.0,MD,0.004213407724216181,0.00421098690317798,-0.002836278283035317,-0.002853044541601976
2.5,2,2.0,MD,0.005452656994361845,0.005433009982286159,0.0008363318903546877,0.0008357514420126014
2.5,3,3.0,MD,0.0028857120668358384,0.0028677484312140586,0.002950975737111574,0.0029407052916786427
2.5,4,4.0,MD,0.0006981439349330389,0.0006518269188832012,0.0013619975488497018,0.0013585379148897886
2.5,5,5.0,FE,8.32911111285752e-05,8.05572839047968e-05,0.00023419632058517512,0.00020093548841015592
2.5,6,10.0,FE,6.132616084921671e-06,7.59971281380019e-06,2.246734493001013e-05,-5.322894420697344e-05
2.5,7,15.0,FE,6.071979448272073e-07,-2.084680852921692e-05,2.732120808439691e-06,-9.66380070194684e-06
5.0,0,0.0,MD,0.00021418353602884035,0.00017627703210269113,-2.831380958237772e-05,-4.6842961188550054e-05
5.0,1,1.0,MD,-0.0005458694394625032,-0.000580157900389862,0.000925866686949907,0.0009158616914319366
5.0,2,2.0,MD,-0.00018017455648159736,-0.00022290733923574382,-0.0016874806790506086,-0.0017087804118285184
5.0,3,3.0,MD,0.0034773291816609505,0.003442732891838532,-0.003171542066194651,-0.0031637961199607618
5.0,4,4.0,MD,0.006310245536112343,0.006259251061453302,-0.0003229580146421877,-0.0003590207200151727
5.0,5,5.0,FE,0.004368264440940228,0.004267569762930156,0.0029266817831328762,0.002933916846053779
5.0,6,10.0,FE,0.0016913953910882363,0.0015822703979800792,0.0021503704863321473,0.0021255916965973857
5.0,7,15.0,FE,0.000768584073032738,0.0006291202572501381,0.00134143300924267,0.001274047437701687
