time_interval_ps,comparison,error_isolated,max_abs_displacement_error_nm,rms_displacement_error_nm,mean_abs_displacement_error_nm,max_abs_velocity_error_nm_per_ps,rms_velocity_error_nm_per_ps,mean_abs_velocity_error_nm_per_ps
0-0.3,Quadratic-force nonlinear vs full Lennard-Jones,Force expansion,1.940239518322985e-05,1.0913926035997394e-05,8.810471741946635e-06,0.0002706408252992065,0.00012662731652197191,0.00010439617974758413
0-0.3,Continuous K=2 Carleman vs quadratic-force nonlinear,Carleman truncation,1.7966110410207355e-05,7.922521271214e-06,5.331741059084332e-06,0.0005387074026716107,0.00018250422146608326,0.00011738227272360094
0-0.3,Backward Euler K=2 vs continuous K=2 Carleman,Time discretization,0.0001399330877752871,6.190263849990673e-05,4.596633043414946e-05,0.0015000873034047152,0.0007162735992362421,0.000592053603265399
0-0.3,VQLS vs backward Euler K=2,VQLS/optimization,0.00028140747533949174,0.0001301805463171975,9.727620334583897e-05,0.0019597233827258406,0.0011101874157140896,0.0009337282599805284
0-0.3,VQLS vs full Lennard-Jones,Total,0.0004087210764469958,0.00016826626240441482,0.00012287557960831964,0.002874450939982766,0.0014845944067693963,0.0012355344613284877
