time_ps,atom_index,full_lj_displacement_nm,full_lj_native_velocity_nm_per_ps,continuous_k2_displacement_nm,continuous_k2_native_velocity_nm_per_ps,unprojected_be_displacement_nm,unprojected_be_native_velocity_nm_per_ps,relifted_be_displacement_nm,relifted_be_native_velocity_nm_per_ps
0.0,0,0.01,0.0,0.01,0.0,0.01,0.0,0.01,0.0
0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,0,0.009998675010782452,-0.001324924471805484,0.009998682711569827,-0.001317226134670454,0.009997366792381926,-0.0013166038090369327,0.009997366792381926,-0.0013166038090369327
0.002,1,1.3249628901182366e-06,0.0013248718177307642,1.3172622558084077e-06,0.0013171737867333389,2.6325799847838056e-06,0.0013162899923919026,2.6325799847838056e-06,0.0013162899923919026
0.002,2,2.6327431043617513e-11,5.2654074718141036e-08,2.61743648557807e-11,5.2347937115438914e-08,6.276332900597089e-10,3.1381664502985446e-07,6.276332900597089e-10,3.1381664502985446e-07
0.004,0,0.009994700819998757,-0.002649072141293571,0.009994731593758016,-0.00263370484673401,0.00999210336213393,-0.002631715123996865,0.00999210341265771,-0.002631689862107699
0.004,1,5.298758800111058e-06,0.002648650965329949,5.267987490191162e-06,0.0026332861203024562,7.893500840219285e-06,0.0026304604277177395,7.893450456133752e-06,0.0026304352356749726
0.004,2,4.212011326149278e-10,4.211759636219499e-07,4.1875179374314203e-10,4.187264315533359e-07,3.137025848308655e-09,1.254696279124473e-06,3.1368861555132877e-09,1.2546264327267892e-06
0.006,0,0.009988079757456659,-0.003971667005593418,0.009988148888327572,-0.003948689386625467,0.009984214181374,-0.003944590379964516,0.009984214408857389,-0.003944501900162519
0.006,1,1.191811053099985e-05,0.003970245855270375,1.1848992062455989e-05,0.003947276505891732,1.5776411539803283e-05,0.003941455349792001,1.5776184792878664e-05,0.003941367168372457
0.006,2,2.1320123430020403e-09,1.4211503230462107e-06,2.1196099749606993e-09,1.4128807337341524e-06,9.407086193337552e-09,3.135030172514448e-06,9.406349735637489e-09,3.1347317900621004e-06
0.008,0,0.009978815703503707,-0.005291934659166919,0.009978938329307373,-0.005261434349918094,0.00997370520400072,-0.005254488686641083,0.009973705836075417,-0.005254286390985208
0.008,1,2.1177559694514887e-05,0.005288567063615085,2.1054973098527954e-05,0.005258086364344618,2.6272856772824936e-05,0.005248222616510826,2.6272227033092218e-05,0.005248021120106776
0.008,2,6.73680177841664e-09,3.3675955518369255e-06,6.6975940999624074e-09,3.3479855734751847e-06,2.1939226453850164e-08,6.266070130256305e-06,2.1936891492499788e-08,6.265270878431151e-06
0.01,0,0.009966914085042081,-0.006609103088604707,0.009967105139631309,-0.006571196347532403,0.009960583859025433,-0.006560672487644168,0.009960585249568431,-0.006560293253493896
0.01,1,3.3069472110773616e-05,0.006602528407802229,3.287851327793531e-05,0.006564659987399234,3.9372286458948645e-05,0.006549714843061852,3.93709016585448e-05,0.0065493373127262925
0.01,2,1.6442847146229023e-08,6.574680802476918e-06,1.6347090756332576e-08,6.536360133167758e-06,4.3854515618483016e-08,1.0957644582316432e-05,4.384877302770453e-08,1.0955940767602374e-05
0.012,0,0.009952381869951416,-0.007922403462760309,0.00995265602643964,-0.007877234673117524,0.009944859042596961,-0.007862408214235981,0.009944861696416809,-0.007861776575812635
0.012,1,4.758404536888306e-05,0.007911048019583925,4.7310087528329615e-05,0.007865945489815063,5.506206713690487e-05,0.007844890338978113,5.505942536783194e-05,0.007844261854643571
0.012,2,3.4084679701220915e-08,1.1355443176383541e-05,3.388603203274678e-08,1.1289183302461505e-05,7.889026613421522e-08,1.751787525786609e-05,7.887821536582845e-08,1.751472116906196e-05
0.014,0,0.009935227559920008,-0.009231070916675497,0.009935599175049215,-0.009178811966671335,0.009926541108731791,-0.00915896693258499,0.009926545705764933,-0.0091579953259383
0.014,1,6.470931855102744e-05,0.009213049411495755,6.433807162029175e-05,0.009160895757360827,7.332749521297543e-05,0.009132714038035282,7.332292082216122e-05,0.009131747727164645
0.014,2,6.31215289652105e-08,1.802150517974716e-05,6.27533304947069e-08,1.7916209310505627e-05,1.3139605523362527e-07,2.625289454970503e-05,1.313734129131342e-07,2.6247598773652874e-05
0.016,0,0.009915461181754239,-0.01053434532792158,0.009915944241600996,-0.010475194873472782,0.00990564185876443,-0.010449624983680452,0.009905649277657235,-0.010448214053847134
0.016,1,8.443118402480876e-05,0.010507462535492458,8.394875265312054e-05,0.010448469389639095,9.415181205297974e-05,0.010412158420002161,9.414443234536957e-05,0.010410755761604176
0.016,2,1.0763422095210682e-07,2.6882792429138032e-05,1.0700574588374669e-07,2.672548383368159e-05,2.0632918259020673e-07,3.7466563678290727e-05,2.0628999739904777e-07,3.7458292242956796e-05
0.018000000000000002,0,0.009893094277150207,-0.011831472083813334,0.009893702344395152,-0.01176565469740907,0.00988217452953436,-0.011733664615035248,0.009882185870489418,-0.01173170358390816
0.018000000000000002,1,0.0001067334013356377,0.01179322483209127,0.00010612634142025864,0.011727631636729963,0.00011751622089951265,0.011682204423266458,0.00011750494355736758,0.011680255605998998
0.018000000000000002,2,1.7232151415468525e-07,3.824725172208377e-05,1.713141845909365e-07,3.8023060679100584e-05,3.0924956612778843e-07,5.1460191768790835e-05,3.0918595321736815e-07,5.1447977909160195e-05
0.02,0,0.00986813989090338,-0.013121702837935876,0.009868886053925862,-0.013049468047791234,0.009856153780327701,-0.013010374603329898,0.009856170387096425,-0.013007741696496326
0.02,1,0.0001315976132426496,0.013069282268336825,0.00013085298664098298,0.012997355328644308,0.0001433999055942547,0.012941842347371023,0.00014338339691787196,0.012939226680252177
0.02,2,2.6249585397057066e-07,5.242056959907213e-05,2.609594331587732e-07,5.2112719146921604e-05,4.463140780455412e-07,6.853225595887645e-05,4.4621598570566773e-07,6.851501624414973e-05
0.022,0,0.009840612557551021,-0.01440429625447842,0.009841509381629752,-0.014325917478764322,0.009827595678593364,-0.014279050867169865,0.009827619159500974,-0.01427561379772672
0.022,1,0.00015900336391407878,0.014334590362978766,0.000158108791042977,0.014256621796586561,0.00017178005108327526,0.014190072744510257,0.0001717567151549949,0.014186659118561451
0.022,2,3.8407853489981645e-07,6.970589149966929e-05,3.8182732727479333e-07,6.929568217775856e-05,6.242703233647645e-07,8.897812265961157e-05,6.241253440361998e-07,8.895467916526595e-05
0.024,0,0.009810528286704324,-0.01567851873962787,0.009811587767363657,-0.015594292120432875,0.009796517684455065,-0.015538997069148873,0.00979654993234845,-0.015534613576262119
0.024,1,0.00018892811891699462,0.015588115198322207,0.00018787182927841237,0.0155044217850378,0.00020263186568137955,0.015425907299052126,0.00020259982455101425,0.015421554698009644
0.024,2,5.435943786808746e-07,9.040354130567483e-05,5.404033579363472e-07,8.987033539507271e-05,8.504498635582544e-07,0.00011308977009674501,8.502431005411365e-07,0.00011305887825246832
0.026000000000000002,0,0.009777904546842202,-0.016943645158042423,0.009779138065629115,-0.01685388830083841,0.009762938634042196,-0.01678952520643302,0.009762981845056093,-0.016784043646179827
0.026000000000000002,1,0.00022134728734803902,0.016828834416369995,0.00022011816765420242,0.01673975635368193,0.00023592860506971568,0.01664836969416807,0.00023588568005545465,0.016642927752220225
0.026000000000000002,2,7.481658097590478e-07,0.00011481074167243929,7.437667166897206e-07,0.00011413194715647167,1.1327608880881518e-06,0.00014115551226494863,1.1324748884603196e-06,0.0001411158939595915
0.028,0,0.00974276024765712,-0.018198959533209765,0.009744178530562787,-0.018104010157943443,0.00972687872166399,-0.018029956189104183,0.009726935412706255,-0.018023216174919567
0.028,1,0.00025623424598532585,0.01805573819801329,0.0002548218856551459,0.017961637768211185,0.00027164159799905797,0.017856496464671134,0.0002715852921934721,0.017849806069008694
0.028,2,1.0055063575526386e-06,0.0001432213351964714,9.99583782078981e-07,0.00014237238973224126,1.4796803369542417e-06,0.00017345972443304477,1.4792951002820323e-06,0.00017341010591085648
0.03,0,0.009705115721059785,-0.019443755730737627,0.009706728799713564,-0.019343970240795927,0.009688359480852936,-0.01925962040552591,0.009688432505715511,-0.0192514534953725
0.03,1,0.00029356036531783615,0.01926783022435624,0.0002919550992367695,0.01916909037906172,0.0003097402736694218,0.019049337835181913,0.00030966775573545145,0.019041231770989684
0.03,2,1.3239136223781882e-06,0.00017592550638136946,1.3161010496812778e-06,0.0001748798617341968,1.900245477642231e-06,0.0002102825703439947,1.8997385490476257e-06,0.00021022172438279658
0.032,0,0.009664992700841648,-0.020677338123355555,0.009666809876628869,-0.020573090099068957,0.009647403764304893,-0.020477858274021335,0.009647496328313087,-0.02046808870121176
0.032,1,0.00033329503746886964,0.02046412861882451,0.00033148798586279184,0.020361151487145904,0.00035019219075494573,0.02022595854276198,0.00035010028009171246,0.02021626217813052
0.032,2,1.7122616894828138e-06,0.00021320950453102586,1.7021375083565404e-06,0.000211938611923037,2.404044940160932e-06,0.0002518997312593504,2.4033915952100598e-06,0.00025182652308121704
0.034,0,0.009622414301011984,-0.021899022236326674,0.00962444411227413,-0.02179070086019294,0.009604035722744533,-0.02168402078018008,0.009604151395863873,-0.02167246622460729
0.034,1,0.00037540570600571763,0.02164366686853813,0.0003733888112602842,0.021536872195665135,0.000392963068041298,0.021385438643176102,0.0003928482213942616,0.02137397065127459
0.034,2,2.1799929822983174e-06,0.0002553553677885403,2.1670764656012494e-06,0.0002538286645277896,3.0012092141688818e-06,0.00029858213700397493,3.0003827418754133e-06,0.00029849557333267677
0.036000000000000004,0,0.00957740499282947,-0.02310813537204934,0.009579655185311061,-0.022996143793321593,0.009558280782746257,-0.022877469999139706,0.009558423511072844,-0.02286394239551194
0.036000000000000004,1,0.0004198578976226516,0.02280549472354452,0.0004176239578637872,0.02269531824710495,0.00043801681664123126,0.02252687429996663,0.00043787511622564494,0.022513447415691706
0.036000000000000004,2,2.737109547876892e-06,0.0003026406485048248,2.720856825168761e-06,0.00030082554621662576,3.702400612515026e-06,0.00035059569917307245,3.7013727015158344e-06,0.00035049497982021034
0.038,0,0.009529990580676962,-0.024304017213682715,0.009532468081261746,-0.024188770859398148,0.009510165623541825,-0.024057579602216956,0.009510339739109341,-0.024041885981751696
0.038,1,0.00046661525549348605,0.023948679074005108,0.00046415795491786574,0.023835570844533863,0.0004853155737523254,0.023649378555547034,0.0004851427169531412,0.023633800363748132
0.038,2,3.3941638295522e-06,0.0003553381396776041,3.3739638204031486e-06,0.00035320001486426576,4.518802705854862e-06,0.0004082010466699176,4.517543937522905e-06,0.0004080856180035348
0.04,0,0.009480198176709724,-0.025486020406032275,0.009482909070587138,-0.02536794524661517,0.009459718152847236,-0.025223735347294763,0.00945992838169094,-0.025205678709200426
0.04,1,0.0005156395744168459,0.02507230480302771,0.0005129535102058493,0.024956727456347784,0.0005348197379194168,0.024752082083545675,0.0005346110286247925,0.024734155835825628
0.04,2,4.162248873430715e-06,0.00041371560300455947,4.13741920703007e-06,0.0004112177902673696,5.462109233353027e-06,0.0004716532637490826,5.46058968427243e-06,0.000471522873374763
0.042,0,0.00942805617435849,-0.026653511113059705,0.009431005685709754,-0.02653304189058908,0.009406967481742433,-0.026375335552402932,0.009407218950168205,-0.02635471576136836
