time_ps,continuous_k2_eta,continuous_k2_eta_relative,unprojected_be_eta,unprojected_be_eta_relative,relifted_be_preprojection_eta,relifted_be_preprojection_eta_relative,relifted_be_postprojection_eta,relifted_be_postprojection_eta_relative,max_abs_unprojected_vs_relifted_displacement_nm,max_abs_unprojected_vs_relifted_native_velocity_nm_per_ps
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.002,2.579902028721657e-06,0.024940158739508177,3.341161570909936e-06,0.032308782948202386,3.341161570909936e-06,0.032308782948202386,0.0,0.0,0.0,0.0
0.004,5.5916662615931845e-06,0.0491509011976607,5.920909078318297e-06,0.05208059110486306,2.9436293571624446e-06,0.025892360707702188,0.0,0.0,5.052378133918456e-11,2.5261889166020707e-08
0.006,9.362675102756781e-06,0.07150551780538038,8.02655977559912e-06,0.06137468225072937,2.653448125048166e-06,0.020289671950930097,0.0,0.0,2.274833880294702e-10,8.847980199726269e-08
0.008,1.4090458139200233e-05,0.09095909724189497,1.0074642269710574e-05,0.06515363328477539,2.5064605521816933e-06,0.016209952961222053,0.0,0.0,6.320746964022517e-10,2.0229565587514403e-07
0.01,1.9874460772014032e-05,0.10707086456835613,1.2560939339716748e-05,0.06783973134412093,2.5235087842193673e-06,0.01362981712067682,0.0,0.0,1.3905429984556461e-09,3.792341502720925e-07
0.012,2.675426332333093e-05,0.11998414693520934,1.5925513046502774e-05,0.07165155506906078,2.695192989094212e-06,0.012127202499196233,0.0,0.0,2.6538198479031383e-09,6.316384233463757e-07
0.014,3.473507876120556e-05,0.13014599046160968,2.0436378770926403e-05,0.07687605491920396,2.987405603257716e-06,0.0112392957818095,0.0,0.0,4.597033141304219e-09,9.716066466901319e-07
0.016,4.380179091373164e-05,0.13807410394676511,2.6190270755126942e-05,0.08294892778256786,3.360549373725369e-06,0.010645390765946063,0.0,0.0,7.418892803909283e-09,1.4109298333182807e-06
0.018000000000000002,5.392626929356029e-05,0.14423955406756586,3.318256144440333e-05,0.0892420281579661,3.782085518160629e-06,0.010174136273117675,0.0,0.0,1.1340955058739e-08,1.9610311270887304e-06
0.02,6.507122012447498e-05,0.14902900117828297,4.1365979951937035e-05,0.09532865865743853,4.228816382702331e-06,0.009748437418725005,0.0,0.0,1.6606768724058973e-08,2.6329068335724515e-06
0.022,7.71923124190422e-05,0.15274467128962904,5.0679244243445016e-05,0.10098111783547564,4.684883831771314e-06,0.009338503134142577,0.0,0.0,2.3480907610645696e-08,3.4370694431459098e-06
0.024,9.023944175004494e-05,0.1556175299534811,6.105733666551004e-05,0.10610462049503784,5.1393691169146775e-06,0.008935317088090033,0.0,0.0,3.224789338514278e-08,4.383492886754145e-06
0.026000000000000002,0.00010415755558168672,0.1578226051557858,7.243423343911516e-05,0.11068007226904666,5.5845378325349814e-06,0.008537971155250812,0.0,0.0,4.32110138972458e-08,5.4815602531926855e-06
0.028,0.00011888725169584425,0.15949246447163595,8.474316816338019e-05,0.1147271197999534,6.014717914737361e-06,0.008148158342740077,0.0,0.0,5.6691042265091807e-08,6.740014184616894e-06
0.03,0.00013436525792276234,0.16072791151031574,9.79162969247984e-05,0.11828286504867369,6.425609822924645e-06,0.007767971317465791,0.0,0.0,7.302486257527996e-08,8.166910153407925e-06
0.032,0.00015052484997548623,0.16160609169581214,0.00011188435095549772,0.12139036070587764,6.813863587013027e-06,0.007399134460461008,0.0,0.0,9.256400819446231e-08,9.769572809573829e-06
0.034,0.0001672962378562253,0.16218650571966609,0.0001265764212247027,0.12409272693771882,7.176816238865614e-06,0.007042822484242668,0.0,0.0,1.1567311933996516e-07,1.1554555572789588e-05
0.036000000000000004,0.00018460693738923573,0.16251543341824168,0.0001419198836126439,0.12643036587777023,7.512325723128001e-06,0.006699697734980735,0.0,0.0,1.4272832658639156e-07,1.3527603627765117e-05
0.038,0.00020238213584918919,0.16262918410279925,0.00015784043939202458,0.12843983305745282,7.818663559804262e-06,0.006370012612325372,0.0,0.0,1.7411556751598112e-07,1.5693620465259683e-05
0.04,0.0002205450563913705,0.16255649144740958,0.00017426224282679449,0.13015356638601508,8.09444386603479e-06,0.0060537169757480525,0.0,0.0,2.1022884370489048e-07,1.805663809433672e-05
0.042,0.00023901732352528307,0.1623202873673195,0.0001911080925930975,0.13160003670544984,8.338575249798461e-06,0.005750550070274936,0.0,0.0,2.51468425771853e-07,2.0619791034570678e-05
0.044,0.00025771933041020777,0.16193902468775334,0.00020829966938086235,0.1328040858528079,8.550227300696993e-06,0.005460112611806368,0.0,0.0,2.982390141324093e-07,2.3385294178952798e-05
0.046,0.00027657060786257924,0.16142767073009096,0.00022575780665645736,0.1337873292559538,8.728806501367699e-06,0.005181920637720735,0.0,0.0,3.5094786333261796e-07,2.6354424601048032e-05
0.048,0.000295490194415466,0.16079845955561706,0.00024340278496981388,0.1345685607876171,8.873938259608384e-06,0.004915444459768522,0.0,0.0,4.100028780582021e-07,2.9527507361501448e-05
